id,Name,Adress,MOAT SITUATION,OMD,File link,Water  Area (SQM),Map Of Index,x,y
315,,62- Visserijstraat- Wevelgem,Incomplete,X,,6730,Popp Remastered,3.165063581,50.79966972
316,,42_1- Toekomststraat- Wevelgem,Disappeared,X,,6300,Popp Remastered,3.177847886,50.81198424
317,,Kortewaagstraat- Menen 8930,Disappeared,X,,4768,Popp Remastered,3.127259246,50.82006153
318,,Paddestraat- Moorsele- Menen,Disappeared,X,,2430,Popp Remastered,3.136752069,50.81903688
319,,4- Ter Poperenweg- Moorsele- Wevelgem,Incomplete,X,,10897,Popp Remastered,3.144074423,50.81997112
320,,Kortewaagstraat- Menen 8930,Disappeared,X,,4397,Popp Remastered,3.127736272,50.82280387
321,,169- Ieperstraat- Moorsele- Wevelgem,Disappeared,X,,5890,Popp Remastered,3.133603696,50.83121071
322,,110A- Ledegemstraat- Moorsele- Wevelgem,Disappeared,X,,2557,Popp Remastered,3.153281031,50.84609222
323,,15- Driemasten- Gullegem- Wevelgem,Incomplete,X,,5956,Popp Remastered,3.198288464,50.84669461
324,,18- Bellegemstraat- Zwevegem 8550,Incomplete,X,,20456,Popp Remastered,3.342941618,50.80103813
325,,Deerlijkstraat- Kappaert- Zwevegem 8550,Disappeared,X,,8577.089973,Popp Remastered,3.343458227,50.82250997
326,,Lettenhofstraat- Knokke- Zwevegem 8550,Incomplete,X,,5057,Popp Remastered,3.352626957,50.80223307
327,,23- Feys Hoevestraat- Kappaert- Zwevegem 8550,Incomplete,X,,11069,Popp Remastered,3.362393003,50.81868919
328,,Beekstraat- Zwevegem 8550,Disappeared,X,,7802,Popp Remastered,3.325513328,50.80347831
329,,Beneluxlaan- Harelbeke 8530,Disappeared,X,,7654,Popp Remastered,3.323957615,50.8254466
330,,7- Blokkestraat- Harelbeke 8530,Disappeared,X,,4321.552362,Popp Remastered,3.330159724,50.82473427
331,,Bekaert- 333- Blokkestraat- Zwevegem 8550,Disappeared,X,,6808,Popp Remastered,3.338828581,50.82540208
332,,Blokkestraat- Zwevegem 8550,Disappeared,X,,9557,Popp Remastered,3.334740828,50.82175128
333,,Sint-Denijsstraat- Zwevegem 8550,Disappeared,X,,4274,Popp Remastered,3.34601739,50.79104206
334,,Kreupelstraat- Zwevegem 8550,Disappeared,X,,2066,Popp Remastered,3.332217471,50.79229462
335,,34B- Blokkestraat- Kappaert- Zwevegem 8550,Disappeared,X,,4242,Popp Remastered,3.34636476,50.81893311
336,,oud gemeentehuis Zwevegem- 100- Otegemstraat- Zwevegem 8550,Complete,X,,7661,Popp Remastered,3.340711104,50.81288553
337,,26- Salembierstraat- Zwevegem 8550,Disappeared,X,,3943,Popp Remastered,3.369794563,50.80547451
338,,8- Hellekenbos- Heestert- Zwevegem 8551,Incomplete,X,,4176,Popp Remastered,3.371819361,50.80547451
339,,Hellekenbos- Heestert- Zwevegem 8551,Disappeared,X,,3251,Popp Remastered,3.369084569,50.80190152
340,,Hellekenbos- Heestert- Zwevegem 8551,Disappeared,X,,3205,Popp Remastered,3.368506056,50.79987393
341,,86- Otegemstraat- St. Lodewijk- Deerlijk,Incomplete,X,,4216,Popp Remastered,3.388201816,50.82330216
342,,145- Oudenaardse Heerweg- Deerlijk,Disappeared,X,,4199,Popp Remastered,3.378104123,50.83084322
343,,167- Oudenaardse Heerweg- Deerlijk,Disappeared,X,,5713,Popp Remastered,3.380654843,50.83268677
344,,169- Pladijsstraat- St. Lodewijk- Deerlijk,Disappeared,X,,6625,Popp Remastered,3.365245342,50.82870062
345,,20- Brandsmisstraat- Statiewijk- Deerlijk,Disappeared,X,,5488,Popp Remastered,3.360617233,50.82753793
346,Kasteel te Vichte,Vichteplaats 46-48 - Anzegem,Complete,CLOSED,/346 - Kasteel van Vichte,20771,Popp Remastered,3.402980211,50.83521116
347,,34- Schalienhofstraat- De Knok- Vichte- Anzegem 8570,Disappeared,X,,3706,Popp Remastered,3.394460282,50.8379679
348,,11A- Olekenbosstraat- Vichte- Anzegem 8570,Disappeared,X,,4941,Popp Remastered,3.385545913,50.8350783
349,,21- Deerlijkstraat- De Knok- Vichte- Anzegem 8570,Incomplete,X,,12231,Popp Remastered,3.394644355,50.83944585
350,,52- Pladijsstraat- Statiewijk- Deerlijk,Disappeared,X,,3682,Popp Remastered,3.354095806,50.83280303
351,,12- Kleine Brandstraat- Harelbeke- Zwevegem 8530,Incomplete,X,,8740,Popp Remastered,3.346338464,50.83167366
352,,15- Sint-Elooistraat- Statiewijk- Deerlijk,Incomplete,X,,5633,Popp Remastered,3.354595432,50.83879821
353,,8- Kleine Tapuitstraat- Statiewijk- Deerlijk,Incomplete,X,,7325,Popp Remastered,3.352886187,50.84289974
354,,59- Gaversstraat- Deerlijk,Disappeared,X,,2685,Popp Remastered,3.347653268,50.84444394
355,,Lamett Europe NV- 2- Ter Donkt- Deerlijk,Disappeared,X,,2780,Popp Remastered,3.363667578,50.8460213
356,,54- Vichtestraat- Deerlijk,Incomplete,X,,3549,Popp Remastered,3.366428666,50.85297766
